panel_size,strategy,trial,spectral_distortion,diffusion_error
20,geometry_aware,0,1.8466189928727461,1.7306161858907747
20,degree,0,48.35228714549235,51.669834748436756
20,random,0,224.2346770799877,227.9990960462665
20,random,1,41.66014111123144,43.36704042894506
20,random,2,40.471851771751474,42.59517861162236
20,random,3,45.31647001937819,45.224226107358305
20,random,4,16.201150129368823,15.490635211770682
20,random,5,14.246495206629481,14.070935484666466
20,random,6,39.28917550561223,40.85466431903551
20,random,7,48.30557811760305,49.10999933396279
20,random,8,15.034764890878611,14.823653488742156
20,random,9,49.05225247089228,49.59636445546807
20,topology_only,0,1.3038702820398929,1.2688807534960425
40,geometry_aware,0,1.8347208008362006,1.751070376935149
40,degree,0,30.86431436353328,32.87031951510395
40,random,0,49.143879721900404,49.583120050593
40,random,1,10.792124160987772,10.606359194120232
40,random,2,8.396265019173677,8.363900402973249
40,random,3,16.17290573800189,16.114692154631427
40,random,4,16.59568884214106,16.60461948874111
40,random,5,18.731651265647386,18.667043075335215
40,random,6,29.370294257289903,30.704660143031667
40,random,7,1241.861383341456,1267.461326800555
40,random,8,30.230252571058323,31.653189595686996
40,random,9,31.566796337017973,33.129879055688626
40,topology_only,0,1.4673617574374183,1.3837244097240329
60,geometry_aware,0,1.823576478833424,1.756525035778741
60,degree,0,30.697026848174108,31.87897807950048
60,random,0,25.525984576620054,26.78237789613869
60,random,1,15.47909770035612,15.856755223524386
60,random,2,21.495103771075513,22.99694235573147
60,random,3,16.414210496959267,16.579955848409607
60,random,4,24.199192580491687,25.374841845594254
60,random,5,15.349614945261246,15.536500445877053
60,random,6,24.450797191158724,25.870897228819
60,random,7,11.440873434981434,11.41566972872492
60,random,8,24.849481016369076,25.535701217314266
60,random,9,15.863180759826637,16.82278894005021
60,topology_only,0,1.4594225962100738,1.3892814508282558
80,geometry_aware,0,1.680781639635628,1.6185790296672091
80,degree,0,30.125694601828293,31.364330611643698
80,random,0,20.56570479424949,21.129581052546783
80,random,1,14.213165055760644,15.043284905877274
80,random,2,9.045102044718474,9.04584243964998
80,random,3,9.427343438350903,9.431557966279946
80,random,4,9.139174951377232,9.1385149792971
80,random,5,7.796231348198281,7.750429696337106
80,random,6,27.145628844807682,28.127779871643313
80,random,7,14.881985619340076,15.031724507745624
80,random,8,12.116536268467073,12.137163919493807
80,random,9,22.762508884877786,23.88977398967873
80,topology_only,0,1.6129578535490068,1.5351523435050705
100,geometry_aware,0,1.629725300438056,1.5711205939231034
100,degree,0,27.88299463797249,28.747490725917917
100,random,0,14.19393279261331,14.487236656305733
100,random,1,16.65688132925554,17.920811320581954
100,random,2,11.365440068225757,11.458409086767558
100,random,3,7.143315633678188,6.8717556756271465
100,random,4,10.074765555292013,10.213119259536578
100,random,5,10.095175992908462,10.072221412371583
100,random,6,10.883818955936563,10.96391942550407
100,random,7,20.385444827628643,21.03602915327948
100,random,8,16.106495900099073,17.638086833866332
100,random,9,18.534599508027608,19.318021822422175
100,topology_only,0,1.6016175552367777,1.5389052912654733
120,geometry_aware,0,1.6234932362199532,1.5719119587013606
120,degree,0,23.391227161059128,24.10979892317576
120,random,0,8.578479807274594,8.591143484607857
120,random,1,9.42816967494155,9.56292593145845
120,random,2,575.7943684015232,597.1620690983184
120,random,3,8.321947901979849,8.390813249919956
120,random,4,12.988152657694707,13.265158712436394
120,random,5,7.3518719248994095,7.322983549238814
120,random,6,9.06700322919581,9.045868321982592
120,random,7,11.644359351784612,12.34676231469395
120,random,8,8.282463267221805,8.39360663571794
120,random,9,9.882681654544719,9.982834998742918
120,topology_only,0,1.5893287721351264,1.5181841219151457
