panel_size,strategy,spectral_distortion_mean,spectral_distortion_std,diffusion_error_mean,diffusion_error_std,n
20,degree,48.35228714549235,,51.669834748436756,,1
20,geometry_aware,1.8466189928727461,,1.7306161858907747,,1
20,random,53.38125563033333,61.63278545356056,54.313179348783784,62.73669850835044,10
20,topology_only,1.3038702820398929,,1.2688807534960425,,1
40,degree,30.86431436353328,,32.87031951510395,,1
40,geometry_aware,1.8347208008362006,,1.751070376935149,,1
40,random,145.28612412546744,385.48699422340974,148.28887899613565,393.43633943838427,10
40,topology_only,1.4673617574374183,,1.3837244097240329,,1
60,degree,30.697026848174108,,31.87897807950048,,1
60,geometry_aware,1.823576478833424,,1.756525035778741,,1
60,random,19.506753647309974,5.127200312258021,20.277243073018386,5.5855510736800404,10
60,topology_only,1.4594225962100738,,1.3892814508282558,,1
80,degree,30.125694601828293,,31.364330611643698,,1
80,geometry_aware,1.680781639635628,,1.6185790296672091,,1
80,random,14.709338125014764,6.663426999428381,15.072565332854968,7.074659930371796,10
80,topology_only,1.6129578535490068,,1.5351523435050705,,1
100,degree,27.88299463797249,,28.747490725917917,,1
100,geometry_aware,1.629725300438056,,1.5711205939231034,,1
100,random,13.543987056366515,4.283193258479336,13.997961064626262,4.747983252656062,10
100,topology_only,1.6016175552367777,,1.5389052912654733,,1
120,degree,23.391227161059128,,24.10979892317576,,1
120,geometry_aware,1.6234932362199532,,1.5719119587013606,,1
120,random,66.13394978710603,179.0843089570355,68.40641662971173,185.7949263385714,10
120,topology_only,1.5893287721351264,,1.5181841219151457,,1
