step,added_metabolite_id,subsystem,distortion_after,record_type,panel_size,strategy,trial,distortion
1.0,MAM01352l,Pool reactions;Protein degradation,,greedy_trace,,,,
2.0,MAM01971r,N-glycan metabolism;Transport reactions,0.39935506542445326,greedy_trace,,,,
3.0,MAM01351l,Pool reactions;Protein degradation,1.2516865981413023,greedy_trace,,,,
4.0,MAM02677x,Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal);Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal);Fatty acid oxidation,1.4568113639805615,greedy_trace,,,,
5.0,MAM02013l,Glycosphingolipid metabolism,1.6774121926761567,greedy_trace,,,,
6.0,MAM00150g,N-glycan metabolism,1.9220204603388553,greedy_trace,,,,
7.0,MAM00148g,N-glycan metabolism,1.9082764217730335,greedy_trace,,,,
8.0,MAM00149g,N-glycan metabolism,1.8957016493628,greedy_trace,,,,
9.0,MAM00143g,N-glycan metabolism,1.8868441008030545,greedy_trace,,,,
10.0,MAM00142g,N-glycan metabolism,1.8717747578616313,greedy_trace,,,,
11.0,MAM02643c,Fatty acid biosynthesis (even-chain);Lipoic acid metabolism,1.8642692598728547,greedy_trace,,,,
12.0,MAM02442c,Fatty acid biosynthesis;Fatty acid biosynthesis (even-chain);Fatty acid biosynthesis (odd-chain),1.8583310793098813,greedy_trace,,,,
13.0,MAM00184c,Fatty acid biosynthesis;Fatty acid biosynthesis (even-chain);Fatty acid biosynthesis (odd-chain),1.8527050616601397,greedy_trace,,,,
14.0,MAM00141l,Keratan sulfate degradation;N-glycan metabolism,1.8507213608822028,greedy_trace,,,,
15.0,MAM02487m,Pyrimidine metabolism;Transport reactions,1.849877187890029,greedy_trace,,,,
16.0,MAM01996c,Protein assembly;Protein degradation;Starch and sucrose metabolism,1.8491753319541535,greedy_trace,,,,
17.0,MAM03182x,Fatty acid oxidation,1.8485252524651592,greedy_trace,,,,
18.0,MAM03203x,Fatty acid oxidation,1.8478873004263878,greedy_trace,,,,
19.0,MAM03194x,Fatty acid oxidation,1.8472507835962144,greedy_trace,,,,
20.0,MAM03333x,Fatty acid oxidation,1.846619031578612,greedy_trace,,,,
21.0,MAM00934m,Beta oxidation of branched-chain fatty acids (mitochondrial),1.8459993512413075,greedy_trace,,,,
22.0,MAM03358m,Fatty acid oxidation,1.8453821434858262,greedy_trace,,,,
23.0,MAM00678x,Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal);Fatty acid oxidation,1.8447664967817106,greedy_trace,,,,
24.0,MAM03361m,Fatty acid oxidation,1.844152358288991,greedy_trace,,,,
25.0,MAM03351m,Fatty acid oxidation,1.8435420266938989,greedy_trace,,,,
26.0,MAM00696m,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),1.8429350752409621,greedy_trace,,,,
27.0,MAM01576m,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);Fatty acid oxidation,1.8423308125101232,greedy_trace,,,,
28.0,MAM03021m,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);Fatty acid oxidation,1.8417276956972761,greedy_trace,,,,
29.0,MAM02461r,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Phosphatidylinositol phosphate metabolism,1.8411262990459718,greedy_trace,,,,
30.0,MAM00025r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Fatty acid biosynthesis,1.8405333156574435,greedy_trace,,,,
31.0,MAM03887x,Fatty acid oxidation;Transport reactions,1.8399419650210187,greedy_trace,,,,
32.0,MAM03009m,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);Omega-6 fatty acid metabolism,1.8393519624247598,greedy_trace,,,,
33.0,MAM00016r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Fatty acid biosynthesis,1.838766644425036,greedy_trace,,,,
34.0,MAM00578m,Beta oxidation of branched-chain fatty acids (mitochondrial),1.8381826079875914,greedy_trace,,,,
35.0,MAM00716r,Fatty acid oxidation,1.8375995336250892,greedy_trace,,,,
36.0,MAM00091m,Fatty acid oxidation;Omega-6 fatty acid metabolism,1.8370206214432563,greedy_trace,,,,
37.0,MAM00131r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Fatty acid oxidation,1.8364429159672717,greedy_trace,,,,
38.0,MAM00262r,Carnitine shuttle (endoplasmic reticular);Fatty acid oxidation;Formation and hydrolysis of cholesterol esters,1.835867577254652,greedy_trace,,,,
39.0,MAM00095r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Fatty acid oxidation,1.8352937063070711,greedy_trace,,,,
40.0,MAM00121r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Fatty acid oxidation,1.8347208386603322,greedy_trace,,,,
41.0,MAM03171x,Fatty acid oxidation,1.8341492471265972,greedy_trace,,,,
42.0,MAM00007r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Fatty acid biosynthesis,1.8335791128020065,greedy_trace,,,,
43.0,MAM00678m,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);Fatty acid oxidation,1.833010632105668,greedy_trace,,,,
44.0,MAM00119r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Fatty acid oxidation,1.8324430137945487,greedy_trace,,,,
