panel_size,strategy,trial,subsystem,psi
20,geometry_aware,0,Isolated,0.3837499999999999
20,geometry_aware,0,Protein degradation,0.8300000000000001
20,geometry_aware,0,Pool reactions,0.8300000000000001
20,geometry_aware,0,Aminoacyl-tRNA biosynthesis,2.2637992037948544e+32
20,geometry_aware,0,Artificial reactions,2.2637992037948544e+32
20,geometry_aware,0,Protein assembly,2.2637992037948544e+32
20,geometry_aware,0,Steroid metabolism,4.436204546443609e+31
20,geometry_aware,0,Tyrosine metabolism,
20,geometry_aware,0,Fatty acid metabolism,
20,degree,0,Propanoate metabolism,0.003936462461915663
20,degree,0,Transport reactions,0.0
20,degree,0,Cholesterol metabolism,8.962711291683539e-05
20,degree,0,Nucleotide metabolism,0.04428757707165629
20,degree,0,Acylglycerides metabolism,0.07287959426431552
20,degree,0,Folate metabolism,0.024567622179142903
20,degree,0,Protein assembly,0.005163095245609828
20,degree,0,Nicotinate and nicotinamide metabolism,0.022606043339480554
20,degree,0,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.002781734077420311
20,degree,0,Glutathione metabolism,0.052123560024104974
20,degree,0,Vitamin B6 metabolism,0.01031352138769689
20,degree,0,Purine metabolism,0.022504188548458023
20,degree,0,Artificial reactions,0.0058093677262162574
20,degree,0,Inositol phosphate metabolism,0.00756979980664313
20,degree,0,"Glycine, serine and threonine metabolism",0.00047591202212292827
20,degree,0,Bile acid recycling,0.005163095245609828
20,degree,0,Bile acid biosynthesis,0.0001318919641551352
20,degree,0,Sphingolipid metabolism,0.00296696838863868
20,degree,0,"Alanine, aspartate and glutamate metabolism",0.0016087505942510476
20,degree,0,Protein degradation,0.05610098424083935
20,degree,0,Glycolysis / Gluconeogenesis,0.0002010307273041836
20,degree,0,Pentose and glucuronate interconversions,0.003335701125340574
20,degree,0,Pantothenate and CoA metabolism,0.003055535056639088
20,degree,0,Fructose and mannose metabolism,0.0030227542839443154
20,degree,0,Galactose metabolism,0.0327623674944663
20,degree,0,Metabolism of other amino acids,0.0035330695127365375
20,degree,0,Glycerophospholipid metabolism,3.4201401916272026e-05
20,degree,0,Amino sugar and nucleotide sugar metabolism,0.00306071677972971
20,degree,0,Fatty acid biosynthesis (even-chain),0.01054051713164193
20,degree,0,Cholesterol biosynthesis 1 (Bloch pathway),0.012802184833065824
20,degree,0,Drug metabolism,3.4201401916272026e-05
20,degree,0,Riboflavin metabolism,0.0030227542839443154
20,degree,0,Isolated,0.020752682465036983
20,degree,0,Thiamine metabolism,0.060705830838827635
20,degree,0,Pentose phosphate pathway,0.01570502363514073
20,degree,0,Glycerolipid metabolism,0.025646633850881072
20,degree,0,Pyrimidine metabolism,0.023058332241894106
20,degree,0,Aminoacyl-tRNA biosynthesis,0.859918641207822
20,degree,0,Biotin metabolism,0.2796150357774215
20,degree,0,Beta oxidation of phytanic acid (peroxisomal),0.5316063048052682
20,degree,0,Arachidonic acid metabolism,0.053703539428621015
20,degree,0,Beta-alanine metabolism,0.06066088741677599
20,degree,0,Butanoate metabolism,0.3313725160381323
20,degree,0,Fatty acid activation (cytosolic),0.5316063048052682
20,degree,0,Cysteine and methionine metabolism,0.006292615508537467
20,degree,0,Histidine metabolism,0.14476209235995735
20,degree,0,Leukotriene metabolism,0.014262869952123836
20,degree,0,Fatty acid oxidation,0.0159787968921054
20,degree,0,"Phenylalanine, tyrosine and tryptophan biosynthesis",0.027318033552352558
20,degree,0,Retinol metabolism,0.038483978549510585
20,degree,0,Fatty acid elongation (odd-chain),0.03980427288266438
20,degree,0,Carnitine shuttle (cytosolic),0.5375632365607858
20,degree,0,Fatty acid biosynthesis,0.004950176361431651
20,degree,0,"Valine, leucine, and isoleucine metabolism",0.008632640023339093
20,degree,0,Carnitine shuttle (endoplasmic reticular),0.8127525257452187
20,degree,0,Omega-3 fatty acid metabolism,0.016713649333171196
20,degree,0,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.1098983436567799
20,degree,0,Fatty acid biosynthesis (odd-chain),0.03980427288266438
20,degree,0,Miscellaneous,0.0001107442883637667
20,degree,0,Acyl-CoA hydrolysis,0.19076880507798666
20,degree,0,Omega-6 fatty acid metabolism,0.011686950791964237
20,degree,0,Ether lipid metabolism,0.006567219568425643
20,degree,0,Arginine and proline metabolism,0.0006908800378976635
20,degree,0,Pyruvate metabolism,0.0009847378929464345
20,degree,0,Heparan sulfate degradation,1.4964056301719275
20,degree,0,Fatty acid biosynthesis (unsaturated),0.03980427288266438
20,degree,0,Eicosanoid metabolism,0.006705942242624861
20,degree,0,Serotonin and melatonin biosynthesis,0.020506453925236746
20,degree,0,Fatty acid elongation (even-chain),0.03980427288266438
20,degree,0,Hippurate metabolism,0.337368377515458
20,degree,0,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),0.03955877308115054
20,degree,0,Tryptophan metabolism,0.014916825641689495
20,degree,0,Beta oxidation of odd-chain fatty acids (mitochondrial),0.03955877308115054
20,degree,0,Beta oxidation of even-chain fatty acids (mitochondrial),0.03955877308115054
20,degree,0,Beta oxidation of branched-chain fatty acids (mitochondrial),0.03955877308115054
20,degree,0,Vitamin E metabolism,0.01065792709617917
20,degree,0,Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),0.03955877308115054
20,degree,0,Tyrosine metabolism,0.0069642053032891275
20,degree,0,Phenylalanine metabolism,0.02417045758577525
20,degree,0,Beta oxidation of poly-unsaturated fatty acids (mitochondrial),0.03955877308115054
20,degree,0,Pool reactions,0.13747927936135695
20,degree,0,C5-branched dibasic acid metabolism,0.03955877308115054
20,degree,0,Carnitine shuttle (mitochondrial),0.1882605604942156
20,degree,0,Terpenoid backbone biosynthesis,0.019087196379975052
20,degree,0,Ubiquinone synthesis,0.03955877308115054
20,degree,0,Lysine metabolism,0.002653559003902089
20,degree,0,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),0.03955877308115054
20,degree,0,Peptide metabolism,0.26582907901613395
20,degree,0,Sulfur metabolism,0.03910270981939003
20,degree,0,Toluene degradation,0.027718525254236473
20,degree,0,Heme degradation,0.03737854523608779
20,degree,0,Androgen metabolism,0.02412204557802723
20,degree,0,Oxidative phosphorylation,0.07598516501864387
20,degree,0,Vitamin B12 metabolism,0.1168149184177362
20,degree,0,Insect hormone biosynthesis,0.07560054754722192
20,degree,0,Starch and sucrose metabolism,0.004595015621840881
20,degree,0,Fatty acid degradation,0.47776101413382843
20,degree,0,Protein modification,0.26582907901613395
20,degree,0,Lipoic acid metabolism,0.027718525254236473
20,degree,0,Vitamin B2 metabolism,0.11324239384408094
20,degree,0,Linoleate metabolism,0.02586073475357928
20,degree,0,Prostaglandin biosynthesis,0.0045171689492657695
20,degree,0,Fatty acid desaturation (odd-chain),0.03737854523608779
20,degree,0,octane oxidation,0.07560054754722192
20,degree,0,Cholesterol biosynthesis 3 (Kandustch-Russell pathway),0.03737854523608779
20,degree,0,Vitamin C metabolism,0.719759572091349
20,degree,0,Glycosphingolipid metabolism,0.07340321017095976
20,degree,0,ROS detoxification,0.13677046339865953
20,degree,0,Xenobiotics metabolism,0.019735348962117944
20,degree,0,Estrogen metabolism,0.022452604299641382
20,degree,0,Steroid metabolism,0.04098511521473717
20,degree,0,Fatty acid metabolism,0.07560054754722192
20,degree,0,Fatty acid desaturation (even-chain),0.03737854523608779
20,degree,0,Glycosphingolipid biosynthesis-ganglio series,0.26582907901613395
20,degree,0,Glycosphingolipid biosynthesis-globo series,0.26582907901613395
20,degree,0,Biopterin metabolism,0.007015967170082728
