panel_size,strategy,global_psi_mean,global_psi_std,delta_psi_mean,delta_psi_std,n
20,degree,0.25031529993135004,,-0.8703109676051464,,1
20,geometry_aware,1.6683750000000002,,-0.13561041022620554,,1
20,random,2.0522410714285715,1.3337386116645167,0.06327163728123189,0.6910135739280208,9
40,degree,0.49825315997427866,,-0.7418536932322389,,1
40,geometry_aware,1.7190000000001002,,-0.10938146110961915,,1
40,random,2.6808918988112644,1.7731818625437503,0.38897732742420466,0.9186903080893234,10
60,degree,0.442456855581754,,-0.7707619091098132,,1
60,geometry_aware,1.9754700854697198,,0.02349638228190521,,1
60,random,2.261946739214914,1.163253593792635,0.17192070967267656,0.6026848260980342,10
80,degree,0.18625414374319216,,-0.9035012255015525,,1
80,geometry_aware,2.1079782196965584,,0.09214920421104458,,1
80,random,2.229721414907341,0.9497667379685363,0.1552246821857202,0.49207670998032094,10
100,degree,0.19075590282340654,,-0.9011688519736545,,1
100,geometry_aware,2.176052223582446,,0.1274185293287083,,1
100,random,1.74244389481816,1.4236006423721448,-0.09723511593872983,0.7375713345391586,10
120,degree,0.19530897578475337,,-0.8988098925854661,,1
120,geometry_aware,2.408353664046267,,0.247774532521266,,1
120,random,2.131341813955845,0.5483593411868831,0.10425394544573474,0.28410645447046257,10
