metabolite_id,subsystem,leverage_topology,leverage_proteomics,delta_leverage,abs_delta_leverage
MAM01359l,Pool reactions;Protein degradation,0.7230651314314985,0.33606380278769626,-0.38700132864380227,0.38700132864380227
MAM01511m,Steroid metabolism;Transport reactions,0.04848220818159238,0.11221742658238747,0.06373521840079509,0.06373521840079509
MAM01511c,Steroid metabolism;Transport reactions,0.04813285170747731,0.11100031010906747,0.06286745840159016,0.06286745840159016
MAM02935m,Steroid metabolism;Transport reactions,0.04802515244837696,0.11066806154571053,0.06264290909733357,0.06264290909733357
MAM02935l,Protein degradation;Transport reactions,0.04966864753279634,0.1110021634753598,0.061333515942563456,0.061333515942563456
MAM02935c,Protein assembly;Steroid metabolism;Transport reactions,0.04692644428387326,0.10734186095044926,0.060415416666575995,0.060415416666575995
MAM02484m,Pantothenate and CoA metabolism,0.10870716967014854,0.12434440736970481,0.015637237699556272,0.015637237699556272
MAM02485m,Pantothenate and CoA metabolism;Protein degradation;Transport reactions,0.10610282518522754,0.12150108955923379,0.015398264374006251,0.015398264374006251
MAM02485c,Protein assembly;Transport reactions,0.10337250235395376,0.11824167992663724,0.014869177572683481,0.014869177572683481
MAM00027x,Leukotriene metabolism,0.031410829519206755,0.01738511341859503,-0.014025716100611724,0.014025716100611724
MAM00587x,Leukotriene metabolism,0.023988152457033753,0.012284424222313331,-0.011703728234720422,0.011703728234720422
MAM00419x,Leukotriene metabolism,0.037873635108762446,0.02670286878406718,-0.011170766324695266,0.011170766324695266
MAM00586x,Leukotriene metabolism,0.015983909289716713,0.0067797464877780355,-0.009204162801938677,0.009204162801938677
MAM02652x,Leukotriene metabolism,0.07959085301854789,0.08716601544978614,0.00757516243123825,0.00757516243123825
MAM02651x,Leukotriene metabolism,0.07859110722714895,0.08613827443564062,0.007547167208491676,0.007547167208491676
MAM00014x,Artificial reactions;Leukotriene metabolism,0.08008882336254022,0.08763554843421449,0.007546725071674268,0.007546725071674268
MAM00015x,Leukotriene metabolism,0.07988108989040542,0.08711589721758332,0.007234807327177906,0.007234807327177906
MAM00398x,Artificial reactions;Leukotriene metabolism,0.08108960652092805,0.08780259008288271,0.006712983561954669,0.006712983561954669
MAM02078l,Heparan sulfate degradation,0.04230439867927923,0.04867015324978911,0.006365754570509877,0.006365754570509877
MAM02067l,Heparan sulfate degradation,0.03467492234714397,0.028850071560722435,-0.005824850786421535,0.005824850786421535
MAM00397x,Leukotriene metabolism,0.07641100660841807,0.0822264707991349,0.005815464190716824,0.005815464190716824
MAM02077l,Heparan sulfate degradation,0.038063825367187484,0.043799707967973306,0.005735882600785822,0.005735882600785822
MAM02079l,Heparan sulfate degradation,0.04501929406650417,0.05070412624205074,0.005684832175546571,0.005684832175546571
MAM02056l,Heparan sulfate degradation,0.04285318445904376,0.04840776998653738,0.005554585527493626,0.005554585527493626
MAM02065l,Heparan sulfate degradation,0.038667109398656585,0.03368887754707954,-0.004978231851577045,0.004978231851577045
