reaction_id,subsystem,W_R,n_genes
MAR03905,Glycolysis / Gluconeogenesis,2.844909036816053,9
MAR03907,Glycolysis / Gluconeogenesis,1.0026888723286511,1
MAR04097,Glycolysis / Gluconeogenesis,1.1,1
MAR04099,Glycolysis / Gluconeogenesis,1.1,2
MAR04108,Glycolysis / Gluconeogenesis,1.1,1
MAR04133,Glycolysis / Gluconeogenesis,1.1,1
MAR04281,Glycolysis / Gluconeogenesis,1.1,2
MAR04388,Glycolysis / Gluconeogenesis,1.1,5
MAR04283,Glycolysis / Gluconeogenesis,1.1,4
MAR08357,Glycolysis / Gluconeogenesis,4.517693525858667,5
MAR04379,Glycolysis / Gluconeogenesis,1.225968295105329,3
MAR04301,Glycolysis / Gluconeogenesis,1.225968295105329,3
MAR04355,Glycolysis / Gluconeogenesis,1.6238009471022894,2
MAR04358,Glycolysis / Gluconeogenesis,1.4574155940601092,2
MAR04360,Glycolysis / Gluconeogenesis,1.1,1
MAR04363,Glycolysis / Gluconeogenesis,1.8539740323385159,3
MAR04365,Glycolysis / Gluconeogenesis,1.5492935232712544,4
MAR04368,Glycolysis / Gluconeogenesis,1.1475750105936542,3
MAR04370,Glycolysis / Gluconeogenesis,1.1,2
MAR04371,Glycolysis / Gluconeogenesis,1.5492935232712544,4
MAR04372,Glycolysis / Gluconeogenesis,1.1,2
MAR04373,Glycolysis / Gluconeogenesis,0.9491223012921086,2
MAR04375,Glycolysis / Gluconeogenesis,1.6238009471022894,3
MAR04377,Glycolysis / Gluconeogenesis,2.5237018402090423,2
MAR04381,Glycolysis / Gluconeogenesis,1.1,1
MAR04391,Glycolysis / Gluconeogenesis,1.118793881213298,1
MAR04394,Glycolysis / Gluconeogenesis,1.1438820214137722,5
MAR04396,Glycolysis / Gluconeogenesis,2.047770947570362,2
MAR04521,Glycolysis / Gluconeogenesis,1.9729652364301782,3
MAR06412,Glycolysis / Gluconeogenesis,0.6962953866700962,2
MAR07745,Glycolysis / Gluconeogenesis,1.946044113846941,1
MAR07747,Glycolysis / Gluconeogenesis,0.7766371065364901,1
MAR08360,Glycolysis / Gluconeogenesis,1.1,1
MAR08652,Glycolysis / Gluconeogenesis,1.9729652364301782,3
MAR08757,Glycolysis / Gluconeogenesis,1.1,1
MAR03989,Starch and sucrose metabolism,1.1,4
MAR04122,Starch and sucrose metabolism,1.1,1
MAR04837,Starch and sucrose metabolism,1.1,2
MAR05395,Starch and sucrose metabolism,1.8272073523718428,2
MAR05396,Starch and sucrose metabolism,1.4636036761859215,4
MAR09727,Starch and sucrose metabolism,1.4157279103537275,4
MAR05397,Starch and sucrose metabolism,0.19316746298174833,1
MAR05398,Starch and sucrose metabolism,1.567324544313649,3
MAR05399,Starch and sucrose metabolism,1.1,1
MAR05400,Starch and sucrose metabolism,1.1,1
MAR05401,Starch and sucrose metabolism,1.567324544313649,3
MAR08568,Starch and sucrose metabolism,1.4689853791367304,6
MAR08569,Starch and sucrose metabolism,1.4689853791367304,6
MAR08570,Starch and sucrose metabolism,1.4689853791367304,6
MAR08571,Starch and sucrose metabolism,1.4689853791367304,6
MAR08572,Starch and sucrose metabolism,1.4689853791367304,6
MAR08573,Starch and sucrose metabolism,1.4689853791367304,6
MAR08574,Starch and sucrose metabolism,1.4689853791367304,6
MAR08575,Starch and sucrose metabolism,1.4689853791367304,6
MAR08576,Starch and sucrose metabolism,1.4689853791367304,6
MAR08577,Starch and sucrose metabolism,1.4689853791367304,6
MAR08578,Starch and sucrose metabolism,1.4689853791367304,6
MAR08579,Starch and sucrose metabolism,1.4689853791367304,6
MAR08581,Starch and sucrose metabolism,1.4689853791367304,6
MAR08591,Starch and sucrose metabolism,1.1,2
MAR08592,Starch and sucrose metabolism,1.1,1
MAR08580,Starch and sucrose metabolism,1.4689853791367304,6
MAR08582,Starch and sucrose metabolism,1.4689853791367304,6
