"","BR:MCF7","BR:MDA-MB-231","BR:HS 578T","BR:BT-549","BR:T-47D","CNS:SF-268","CNS:SF-295","CNS:SNB-19","CNS:SNB-75","CNS:U251","CO:COLO 205","CO:HCC-2998","CO:HCT-116","CO:HCT-15","CO:HT29","CO:KM12","CO:SW-620","LE:CCRF-CEM","LE:HL-60(TB)","LE:K-562","LE:MOLT-4","LE:RPMI-8226","LE:SR","ME:LOX IMVI","ME:MALME-3M","ME:M14","ME:SK-MEL-2","ME:SK-MEL-28","ME:SK-MEL-5","ME:UACC-257","ME:UACC-62","ME:MDA-MB-435","LC:A549/ATCC","LC:EKVX","LC:HOP-62","LC:HOP-92","LC:NCI-H226","LC:NCI-H322M","LC:NCI-H460","LC:NCI-H522","OV:IGROV1","OV:OVCAR-3","OV:OVCAR-4","OV:OVCAR-5","OV:OVCAR-8","OV:SK-OV-3","OV:NCI/ADR-RES","PR:PC-3","PR:DU-145","RE:786-0","RE:A498","RE:ACHN","RE:CAKI-1","RE:RXF 393","RE:SN12C","RE:TK-10","RE:UO-31"
"PYCR1",5.205,5.178,5.038,5.059,5.311,5.129,5.243,4.753,4.957,5.128,5.154,5.576,5.313,5.542,5.051,5.064,5.285,4.8,4.459,5.173,4.952,5.19,4.499,4.974,4.754,4.808,4.927,5.089,5.29,4.946,5.203,4.984,4.91,4.988,4.875,5.401,5.09,5.104,5.256,5.327,5.253,4.857,5.355,5.118,4.861,4.711,5.069,5.167,5.144,5.398,5.376,5.009,5.605,4.832,5.109,5.279,4.959
"SNRPF",6.08,5.929,5.787,5.951,5.833,5.964,5.942,5.96,5.73,5.927,5.814,6.028,5.984,5.977,5.91,6.057,5.997,6.019,5.856,6.066,6.046,6.002,5.922,5.98,5.759,5.781,5.953,6.026,5.883,5.912,6.005,5.811,5.872,5.78,5.972,5.937,5.83,5.934,6.067,6.088,6.06,6.031,5.995,5.916,5.816,6.037,5.964,6.028,5.934,5.82,5.713,5.843,5.787,5.886,5.945,5.956,5.832
"TNS3",3.381,4.38,4.236,4.361,4.049,3.381,4.651,4.347,4.386,4.607,4.18,3.381,4.142,4.409,4.332,4.024,4.898,4.225,4.108,4.083,3.381,4.261,3.87,3.381,4.068,4.083,3.381,4.057,4.208,4.227,3.951,3.381,4.534,4.522,4.554,3.381,4.352,4.483,4.19,4.095,4.262,4.104,4.316,4.204,4.141,4.058,4.118,4.192,3.381,4.325,4.622,4.471,4.429,4.288,4.526,4.372,4.459
"GFPT1",5.133,5.108,4.91,4.928,5.1,4.997,5.044,4.896,5.032,5.015,5.57,5.156,4.902,5.395,5.44,5.25,5.229,5.153,4.726,5.214,5.175,5.065,5.043,5.057,5.058,5.155,5.081,5.177,5.279,5.025,5.071,5.356,5.074,5.212,5.021,4.954,4.923,5.216,5.002,4.939,5.048,4.956,4.84,5.032,5.094,5.055,5.098,5.128,5.167,5.131,5.305,5.175,5.231,5.132,5.033,5.225,5.18
"YKT6",5.689,4.829,5.354,5.298,5.377,5.257,5.366,4.829,5.44,5.431,5.442,5.376,5.36,5.465,5.697,5.386,5.488,5.181,4.829,5.462,5.458,5.372,5.499,5.409,5.36,5.24,5.433,5.326,5.454,5.487,5.547,5.333,5.55,5.873,5.508,5.434,5.424,5.682,5.367,5.49,5.37,5.486,5.56,5.759,5.316,5.402,5.595,5.226,5.206,5.542,5.477,5.416,5.418,4.829,5.551,4.829,5.349
"DCTPP1",5.676,5.08,4.28,5.119,5.471,4.964,5.329,4.965,5.064,5.146,5.599,5.325,5.608,5.608,5.517,5.605,5.472,5.574,5.221,5.575,5.693,5.685,5.429,5.248,4.909,5.432,5.272,4.944,5.16,5.203,4.897,5.493,5.404,4.28,4.86,4.949,4.849,5.306,5.189,5.202,5.253,4.892,5.125,5.348,5.256,4.889,5.186,5.563,5.352,5.303,5.419,5.484,5.03,5.125,5.321,5.336,5.415
"FAM136A",4.417,4.3,4.07,4.227,3.886,4.256,4.013,4.229,3.74,4.13,4.034,4.513,4.161,4.377,4.071,4.3,4.566,4.156,3.98,4.307,4.282,4.166,4.177,4.262,3.99,3.331,4.127,4.361,4.354,4.205,4.384,4.301,4.347,3.935,4.205,4.118,4.401,4.085,4.44,4.6,4.487,4.587,4.422,4.224,3.967,4.089,4.251,4.574,4.101,3.977,4.066,4.22,4.255,3.953,4.134,4.178,4.187
"SLC25A5",6.07,5.863,5.597,6.042,5.716,6.11,5.752,5.982,5.702,5.781,5.749,5.709,5.75,5.791,5.882,5.807,6.102,5.641,5.973,5.836,5.943,5.743,5.613,5.862,5.914,5.845,6.053,5.995,5.904,6.216,6.081,5.907,5.694,5.779,5.903,5.812,5.549,5.808,6.089,5.983,5.719,5.874,6.101,5.778,5.566,5.867,5.783,5.912,5.565,5.582,5.708,5.497,5.609,5.736,5.873,5.565,5.532
"CSRP1",5.255,5.165,5.407,4.937,5.069,5.123,4.971,5.059,5.574,5.245,5.179,4.943,4.906,5.054,5.07,4.575,4.881,5.034,4.96,4.695,4.81,5.327,5.043,5.189,5.389,5.253,5.321,5.072,4.7,5.202,5.028,5.444,5.436,5.609,5.166,5.426,5.014,4.081,5.212,4.65,5.018,4.644,5.339,4.794,5.255,4.903,5.087,4.661,5.188,5.252,4.897,4.583,5.189,5.241,5.201,4.988,5.311
"MYO18A",4.633,4.316,4.129,4.083,4.588,4.137,4.32,3.952,4.51,4.143,4.226,4.658,4.092,4.263,4.562,4.521,4.361,4.407,4.641,4.442,4.432,3.613,4.442,4.193,4.406,4.605,4.366,4.163,4.405,4.403,3.613,4.404,3.613,4.586,3.613,4.238,4.633,4.418,4.101,4.122,4.204,3.613,3.613,4.539,4.276,4.637,4.325,4.345,4.075,4.324,4.356,4.304,4.157,4.192,4.327,4.253,4.28
