"reaction_id","reaction_name","subsystem","gpr","has_gpr","has_swath_overlap"
"MAR03905","ethanol:NAD+ oxidoreductase","Glycolysis / Gluconeogenesis","ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144",TRUE,TRUE
"MAR03907","Ethanol:NADP+ oxidoreductase","Glycolysis / Gluconeogenesis","ENSG00000117448",TRUE,TRUE
"MAR04097","Acetate:CoA ligase (AMP-forming)","Glycolysis / Gluconeogenesis","ENSG00000131069",TRUE,FALSE
"MAR04099","Acetate:CoA ligase (AMP-forming)","Glycolysis / Gluconeogenesis","ENSG00000111058 or ENSG00000154930",TRUE,FALSE
"MAR04108","acetyl adenylate:CoA acetyltransferase","Glycolysis / Gluconeogenesis","ENSG00000131069",TRUE,FALSE
"MAR04133","ATP:acetate adenylyltransferase","Glycolysis / Gluconeogenesis","ENSG00000131069",TRUE,FALSE
"MAR04281","(S)-Lactate:NAD+ oxidoreductase","Glycolysis / Gluconeogenesis","ENSG00000111716 or ENSG00000134333",TRUE,TRUE
"MAR04388","(S)-Lactate:NAD+ oxidoreductase","Glycolysis / Gluconeogenesis","ENSG00000111716 or ENSG00000134333 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989",TRUE,TRUE
"MAR04283","Acetaldehyde:NADP+ oxidoreductase","Glycolysis / Gluconeogenesis","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254",TRUE,TRUE
"MAR08357","Acetaldehyde:NAD+ oxidoreductase","Glycolysis / Gluconeogenesis","ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904",TRUE,TRUE
"MAR04379","ATP:D-fructose-6-phosphate 1-phosphotransferase","Glycolysis / Gluconeogenesis","ENSG00000067057 or ENSG00000141959 or ENSG00000152556",TRUE,TRUE
"MAR04301","UTP:D-fructose-6-phosphate 1-phosphotransferase","Glycolysis / Gluconeogenesis","ENSG00000067057 or ENSG00000141959 or ENSG00000152556",TRUE,TRUE
"MAR04355","sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase","Glycolysis / Gluconeogenesis","ENSG00000109107 or ENSG00000136872",TRUE,TRUE
"MAR04358","ATP:pyruvate 2-O-phosphotransferase","Glycolysis / Gluconeogenesis","ENSG00000067225 or ENSG00000143627",TRUE,TRUE
"MAR04360","2-Oxopropanal:NADP+ oxidoreductase","Glycolysis / Gluconeogenesis","ENSG00000180011",TRUE,FALSE
"MAR04363","2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)","Glycolysis / Gluconeogenesis","ENSG00000074800 or ENSG00000108515 or ENSG00000111674",TRUE,TRUE
"MAR04365","D-phosphoglycerate 2,3-phosphomutase","Glycolysis / Gluconeogenesis","ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784",TRUE,TRUE
"MAR04368","ATP:3-phospho-D-glycerate 1-phosphotransferase","Glycolysis / Gluconeogenesis","ENSG00000096006 or ENSG00000102144 or ENSG00000170950",TRUE,TRUE
"MAR04370","3-Phospho-D-glyceroyl phosphate phosphohydrolase","Glycolysis / Gluconeogenesis","ENSG00000119640 or ENSG00000170634",TRUE,TRUE
"MAR04371","3-phospho-D-glycerate 1,2-phosphomutase","Glycolysis / Gluconeogenesis","ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784",TRUE,TRUE
"MAR04372","2,3-bisphospho-D-glycerate 2-phosphohydrolase","Glycolysis / Gluconeogenesis","ENSG00000119640 or ENSG00000170634",TRUE,TRUE
"MAR04373","D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)","Glycolysis / Gluconeogenesis","ENSG00000105679 or ENSG00000111640",TRUE,TRUE
"MAR04375","D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)","Glycolysis / Gluconeogenesis","ENSG00000109107 or ENSG00000136872 or ENSG00000149925",TRUE,TRUE
"MAR04377","D-Fructose-1,6-bisphosphate 1-phosphohydrolase","Glycolysis / Gluconeogenesis","ENSG00000130957 or ENSG00000165140",TRUE,TRUE
"MAR04381","D-glucose-6-phosphate aldose-ketose-isomerase","Glycolysis / Gluconeogenesis","ENSG00000105220",TRUE,TRUE
"MAR04391","D-glyceraldehyde-3-phosphate aldose-ketose-isomerase","Glycolysis / Gluconeogenesis","ENSG00000111669",TRUE,TRUE
"MAR04394","ATP:D-glucose 6-phosphotransferase","Glycolysis / Gluconeogenesis","ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883",TRUE,TRUE
"MAR04396","alpha-D-glucose 1,6-phosphomutase","Glycolysis / Gluconeogenesis","ENSG00000079739 or ENSG00000169299",TRUE,TRUE
"MAR04521","D-Glucose-6-phosphate phosphohydrolase","Glycolysis / Gluconeogenesis","ENSG00000131482 or ENSG00000141349 or ENSG00000152254",TRUE,FALSE
"MAR06412","acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase","Glycolysis / Gluconeogenesis","ENSG00000110435 and ENSG00000150768",TRUE,TRUE
"MAR07745","D-glucose 1-epimerase","Glycolysis / Gluconeogenesis","ENSG00000143891",TRUE,TRUE
"MAR07747","ADP:D-glucose 6-phosphotransferase","Glycolysis / Gluconeogenesis","ENSG00000159322",TRUE,TRUE
"MAR08360",NA,"Glycolysis / Gluconeogenesis","ENSG00000121691",TRUE,TRUE
