,BR:MCF7,BR:MDA-MB-231,BR:HS 578T,BR:BT-549,BR:T-47D,CNS:SF-268,CNS:SF-295,CNS:SNB-19,CNS:SNB-75,CNS:U251,CO:COLO 205,CO:HCC-2998,CO:HCT-116,CO:HCT-15,CO:HT29,CO:KM12,CO:SW-620,LE:CCRF-CEM,LE:HL-60(TB),LE:K-562,LE:MOLT-4,LE:RPMI-8226,LE:SR,ME:LOX IMVI,ME:MALME-3M,ME:M14,ME:SK-MEL-2,ME:SK-MEL-28,ME:SK-MEL-5,ME:UACC-257,ME:UACC-62,ME:MDA-MB-435,LC:A549/ATCC,LC:EKVX,LC:HOP-62,LC:HOP-92,LC:NCI-H226,LC:NCI-H322M,LC:NCI-H460,LC:NCI-H522,OV:IGROV1,OV:OVCAR-3,OV:OVCAR-4,OV:OVCAR-5,OV:OVCAR-8,OV:SK-OV-3,OV:NCI/ADR-RES,PR:PC-3,PR:DU-145,RE:786-0,RE:A498,RE:ACHN,RE:CAKI-1,RE:RXF 393,RE:SN12C,RE:TK-10,RE:UO-31
MAR03905,1.00287784042813,1.03218777834363,1.01005382329439,1.02531897906194,1.01894277476566,1.0098275168452,0.990009989812186,0.979579518965983,1.02850833145382,1.00491819712839,1.01100454295588,1.00988912176408,1.06928913716668,1.02058267852827,1.02329238309124,1.01007705967001,1.02995073871331,1.09920876423226,1.01428279922173,1.03736654783761,1.11831831809443,1.00440352261721,1.02338541128005,1.01510934373457,1.00475247504856,1.02601933984129,1.01053875681857,0.984867965387228,0.9886073461032,0.987958883800693,0.975677278826245,1.02901277333815,0.9930408470009,1.05868311098892,1.03067239463869,0.981778352886233,0.880301026974412,0.998909270996746,0.999308231841228,1.0485842024742,1.05119857925398,1.00775037725058,0.98950104969713,1.01493726329119,1.06190764245576,1.05122362012261,1.03565026866448,0.985295568738716,1.01384430156223,1.02356435623296,1.06025286427099,1.01407607047737,1.02719936215459,1.02256996669223,1.02673475497612,1.01009293474366,1.02797411627118
MAR03907,1.01220601349366,0.996929780925635,0.895704275231907,1.00458532675347,1.04988594643462,0.983553950865713,1.01858141837791,0.970324916815145,1.0070267012634,1.04346080476895,1.08975264995664,1.0436519826104,1.04692491991875,1.06970269442782,1.02230958210864,1.07429361764981,1.03231527073255,1.07648610243934,1.04366455804047,1.02174772617205,1.05505505484383,1.1056845474168,1.02776395640805,1.02763419462671,1.01069306910679,1.03419399839813,1.06766472942625,1.11502324179309,0.991553722060194,1.08213411628348,0.872058532554467,0.873353797232725,1.00937972748172,1.01611298965265,1.00429613327919,0.878223638180181,0.988508084818772,1.03163113514494,0.99950587983012,1.02374565305042,0.997533786919693,1.02506290870155,0.975302469557983,0.996215893049947,1.02440008045485,0.993163578521121,1.00338577952532,1.05477153832927,1.03571428550648,1.02910891068731,1.0161991305776,1.00029949066581,1.02719936215459,0.988664860870967,0.995494142185743,1.04866593363672,1.02180189128486
MAR04097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAR04099,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAR04108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAR04133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAR04281,1.08226654736881,1.22650292141695,1.19345993679426,1.22069377966095,1.14291381510604,1.23646209361483,1.19220779196959,1.18901518937954,1.22947199332875,1.21328916968518,1.11660777362613,1.21426430901723,1.32448083040645,1.32723476159347,1.27921375896232,1.20983995233949,1.2768472903888,1.34794075850113,1.27729034864777,1.25899565020581,1.34294294267409,1.28602882280103,1.24788536147917,1.29403578503101,1.25168316806897,1.23098394951032,1.24495223062249,1.1852437936534,1.26890591214518,1.26030347503469,1.26774767623734,1.23735023245126,1.27503782122541,1.26238313084098,1.2638625234761,1.19864582272256,1.16912437685973,1.32493802650968,1.22087162738989,1.23417784376867,1.26487126343793,1.21831907373562,1.19868013174709,1.19279028058299,1.27989513989113,1.23372634474711,1.26568412641592,1.2067502218086,1.21007223089686,1.20336633639537,1.24555511630866,1.28062294074461,1.22148052182495,1.26752934070267,1.2155802540872,1.23513540496949,1.27386759556518
MAR04388,1.08226654736881,1.22650292141695,1.19345993679426,1.22069377966095,1.14291381510604,1.23646209361483,1.19220779196959,1.18901518937954,1.22947199332875,1.21328916968518,1.11660777362613,1.21426430901723,1.32448083040645,1.32723476159347,1.27921375896232,1.20983995233949,1.2768472903888,1.34794075850113,1.27729034864777,1.25899565020581,1.34294294267409,1.28602882280103,1.24788536147917,1.29403578503101,1.25168316806897,1.23098394951032,1.24495223062249,1.1852437936534,1.26890591214518,1.26030347503469,1.26774767623734,1.23735023245126,1.27503782122541,1.26238313084098,1.2638625234761,1.19864582272256,1.16912437685973,1.32493802650968,1.22087162738989,1.23417784376867,1.26487126343793,1.21831907373562,1.19868013174709,1.19279028058299,1.27989513989113,1.23372634474711,1.26568412641592,1.2067502218086,1.21007223089686,1.20336633639537,1.24555511630866,1.28062294074461,1.22148052182495,1.26752934070267,1.2155802540872,1.23513540496949,1.27386759556518
MAR04283,1.04554927040874,1.03813013745902,1.03361429856126,1.06359649101603,1.05682832469368,1.04933814660061,1.0835164833,1.05945075926779,1.08532423186402,1.07678410095819,1.15779909113422,1.06103286363779,1.06729233205525,1.05379337753728,1.05474201453469,1.07864058465152,1.05182265989127,1.07526881698615,1.1297694345787,1.09470146281244,1.06046046024816,1.11008807023417,1.09901482712727,1.04055665983289,1.02158415821355,1.08084936674691,1.06825568776357,1.07269310630547,1.04930269081727,1.02985805168285,1.06782677455649,0.926230319650217,1.24296520398528,1.06445195920739,1.05764811648364,1.05725380841238,1.04566256462002,1.16529499233212,1.18470204542253,1.04441132617101,1.04725263864117,1.0721690989286,1.06589341044578,1.176259708987,1.07017543838069,1.07084117684121,1.05974905376225,1.07944340253046,1.08727929352181,1.06455445523474,1.02429869596517,0.933812518531734,1.09654279145232,1.10241749401095,1.0567738057361,1.08024382910358,1.04051767027566
MAR08357,1.13347226334554,1.11894622142836,1.12338783362986,1.14613237616704,1.14132698578968,1.12735659824963,1.09390609368753,1.08520269568752,1.12929130673975,1.10448660019984,1.10005047933366,1.17350913971162,1.11022364195083,1.1015213282089,1.08835380813988,1.07587433292316,1.11704433475526,1.12456887784042,1.14037951415214,1.06722024494519,1.04844844823855,1.10368294613617,1.08548114218619,1.07256461211281,1.10237623740547,1.10098694026498,1.10883482692626,1.11739689425034,1.10292673323455,1.11130690139769,1.11765869070246,1.13377562112412,1.1191124556492,1.11000596755321,1.13777600137121,1.1016628495267,1.11888538571771,1.11472483864854,1.10920051366554,1.19582712345836,1.11591200530415,1.14725717138455,1.11028897088085,1.11332403881432,1.10244000784383,1.13187357552128,1.10197171856165,1.09365439631034,1.12580256799242,1.10138613839577,1.07664954542144,1.09553758588489,1.10810002966861,1.10301935979476,1.11705216759446,1.09183571478129,1.09865604756622
