panel_size,trial,panel_type,distortion,geometry_aware_distortion,random_mean_distortion,advantage,n_valid_random_trials
50,1,random,1.2350843872428356,,,,
50,2,random,1.2573894271812698,,,,
50,3,random,1.3120938389611687,,,,
50,4,random,1.1997802976163434,,,,
50,5,random,1.305341410589953,,,,
50,6,random,1.3892591064666595,,,,
50,7,random,1.1770854994505895,,,,
50,8,random,1.2372955455842765,,,,
50,9,random,1.2855596831536586,,,,
50,10,random,1.3646717036437699,,,,
50,0,geometry_aware,1.107928074256793,,,,
50,-1,summary,,1.107928074256793,1.2763560899890527,0.16842801573225974,10.0
100,1,random,1.3656056118885351,,,,
100,2,random,1.3401776621053607,,,,
100,3,random,1.3355136942143395,,,,
100,4,random,1.3225786931255719,,,,
100,5,random,1.3950718593981153,,,,
100,6,random,1.3716683670015555,,,,
100,7,random,1.3686913525950173,,,,
100,8,random,1.3871512138554447,,,,
100,9,random,1.3608952520922815,,,,
100,10,random,1.3440771385867147,,,,
100,0,geometry_aware,0.9901269229235229,,,,
100,-1,summary,,0.9901269229235229,1.3591430844862935,0.3690161615627706,10.0
200,1,random,,,,,
200,2,random,,,,,
200,3,random,1.4092707656286985,,,,
200,4,random,1.347182793309842,,,,
200,5,random,1.4053343554295334,,,,
200,6,random,1.4056422268919464,,,,
200,7,random,1.4023529204236085,,,,
200,8,random,1.3877003324499309,,,,
200,9,random,1.4104447761123473,,,,
200,10,random,1.4025217770586635,,,,
200,0,geometry_aware,0.9621073686945167,,,,
200,-1,summary,,0.9621073686945167,1.3963062434130713,0.43419887471855456,8.0
500,1,random,1.4108424492105112,,,,
500,2,random,1.4091183797760638,,,,
500,3,random,1.4084921366948262,,,,
500,4,random,1.3293989901192709,,,,
500,5,random,1.3852983377903565,,,,
500,6,random,1.3903990234280363,,,,
500,7,random,1.4116791877283534,,,,
500,8,random,1.4114863532832924,,,,
500,9,random,1.4126008373608285,,,,
500,10,random,1.4129158477754868,,,,
500,0,geometry_aware,0.9233074381255385,,,,
500,-1,summary,,0.9233074381255385,1.3982231543167027,0.47491571619116424,10.0
