cell_line,panel_size,trial,panel_type,distortion,geometry_aware_distortion,random_mean_distortion,advantage,n_valid_random_trials,nontrivial_full_rank
BR:MCF7,50,1,random,1.3045165176177675,,,,,
BR:MCF7,50,2,random,1.1971247095291575,,,,,
BR:MCF7,50,3,random,1.3428590615738307,,,,,
BR:MCF7,50,4,random,1.1998261530722794,,,,,
BR:MCF7,50,5,random,1.2670898484395212,,,,,
BR:MCF7,50,6,random,1.3815238357716935,,,,,
BR:MCF7,50,7,random,1.1849917788271822,,,,,
BR:MCF7,50,8,random,1.2375971479505254,,,,,
BR:MCF7,50,9,random,1.3035610538077622,,,,,
BR:MCF7,50,10,random,1.347791323607444,,,,,
BR:MCF7,50,0,geometry_aware,1.10949943935558,,,,,
BR:MCF7,50,-1,summary,,1.10949943935558,1.2766881430197166,0.16718870366413663,10.0,15.0
BR:MCF7,100,1,random,1.3783897806379841,,,,,
BR:MCF7,100,2,random,1.3531293490667171,,,,,
BR:MCF7,100,3,random,1.3009088663258976,,,,,
BR:MCF7,100,4,random,1.2871320722451045,,,,,
BR:MCF7,100,5,random,1.3927021665870996,,,,,
BR:MCF7,100,6,random,1.3888424336515355,,,,,
BR:MCF7,100,7,random,1.3743376754394174,,,,,
BR:MCF7,100,8,random,1.3666849734259447,,,,,
BR:MCF7,100,9,random,1.3635062997728475,,,,,
BR:MCF7,100,10,random,1.3504945887128879,,,,,
BR:MCF7,100,0,geometry_aware,0.9902854892517114,,,,,
BR:MCF7,100,-1,summary,,0.9902854892517114,1.3556128205865436,0.3653273313348322,10.0,15.0
BR:MCF7,200,1,random,1.3843671581536774,,,,,
BR:MCF7,200,2,random,1.3963455012230532,,,,,
BR:MCF7,200,3,random,1.4107672962394022,,,,,
BR:MCF7,200,4,random,1.346033434393967,,,,,
BR:MCF7,200,5,random,1.4002349379933403,,,,,
BR:MCF7,200,6,random,1.392377092173866,,,,,
BR:MCF7,200,7,random,1.405994745603452,,,,,
BR:MCF7,200,8,random,1.3728022561255095,,,,,
BR:MCF7,200,9,random,1.4127861614565655,,,,,
BR:MCF7,200,10,random,1.358510446011499,,,,,
BR:MCF7,200,0,geometry_aware,0.9635452993562765,,,,,
BR:MCF7,200,-1,summary,,0.9635452993562765,1.3880219029374332,0.4244766035811567,10.0,15.0
BR:MCF7,500,1,random,1.4139140245106756,,,,,
BR:MCF7,500,2,random,1.410733939609209,,,,,
BR:MCF7,500,3,random,1.4073099248015106,,,,,
BR:MCF7,500,4,random,1.3529492208654494,,,,,
BR:MCF7,500,5,random,1.412521758170384,,,,,
BR:MCF7,500,6,random,1.405897361226701,,,,,
BR:MCF7,500,7,random,1.4120889714845457,,,,,
BR:MCF7,500,8,random,1.4132403153739252,,,,,
BR:MCF7,500,9,random,1.413488192373079,,,,,
BR:MCF7,500,10,random,1.4128950283742572,,,,,
BR:MCF7,500,0,geometry_aware,0.8379590523804894,,,,,
BR:MCF7,500,-1,summary,,0.8379590523804894,1.4055038736789736,0.5675448212984842,10.0,15.0
BR:MDA-MB-231,50,1,random,1.2384747542552486,,,,,
BR:MDA-MB-231,50,2,random,1.3086345714958865,,,,,
BR:MDA-MB-231,50,3,random,1.2102147552649918,,,,,
BR:MDA-MB-231,50,4,random,1.2879316540580068,,,,,
BR:MDA-MB-231,50,5,random,1.2940981326031633,,,,,
BR:MDA-MB-231,50,6,random,1.349751174541055,,,,,
BR:MDA-MB-231,50,7,random,1.2259831820013667,,,,,
BR:MDA-MB-231,50,8,random,1.2691958140188966,,,,,
BR:MDA-MB-231,50,9,random,1.3290780342747621,,,,,
BR:MDA-MB-231,50,10,random,1.2725807517001197,,,,,
BR:MDA-MB-231,50,0,geometry_aware,1.1088186955172084,,,,,
BR:MDA-MB-231,50,-1,summary,,1.1088186955172084,1.2785942824213499,0.16977558690414152,10.0,22.0
BR:MDA-MB-231,100,1,random,1.351863951939573,,,,,
BR:MDA-MB-231,100,2,random,1.3928506053188878,,,,,
BR:MDA-MB-231,100,3,random,1.3305427694593248,,,,,
BR:MDA-MB-231,100,4,random,1.3918993401333344,,,,,
