cell_line,panel_size,trial,topology_distortion,proteomics_distortion,delta_distortion
BR:MCF7,50,1,1.2380878797458865,1.2374256398752101,-0.0006622398706763732
BR:MCF7,50,2,1.3190264175559414,1.2924608857736273,-0.026565531782314133
BR:MCF7,50,3,1.2323439102048834,1.243247561644217,0.010903651439333473
BR:MCF7,50,4,1.262302193990158,1.2877366936290413,0.025434499638883334
BR:MCF7,50,5,1.2797238224030976,1.2650144647096118,-0.014709357693485803
BR:MCF7,50,6,1.3388850772196488,1.3496318006563064,0.010746723436657613
BR:MCF7,50,7,1.2205282694961332,1.273140122045527,0.05261185254939371
BR:MCF7,50,8,1.2942552238203497,1.3062269256632268,0.011971701842877103
BR:MCF7,50,9,1.300278882362044,1.3073914611474864,0.007112578785442469
BR:MCF7,50,10,1.2622580082654318,1.2729520543200827,0.010694046054650963
BR:MCF7,100,1,1.3716796548504577,1.3513961080358514,-0.020283546814606312
BR:MCF7,100,2,1.3896047928559578,1.367848416679978,-0.021756376175979808
BR:MCF7,100,3,1.3315746732144451,1.3301588144631171,-0.0014158587513279919
BR:MCF7,100,4,1.376865385388546,1.3909389253787745,0.014073539990228534
BR:MCF7,100,5,1.3587514668514955,1.393523189164701,0.03477172231320558
BR:MCF7,100,6,1.3222101254750502,1.3933567092257446,0.07114658375069438
BR:MCF7,100,7,1.3430283253207012,1.335729426762444,-0.007298898558257161
BR:MCF7,100,8,1.397944630530909,1.3962318929675384,-0.0017127375633705366
BR:MCF7,100,9,1.3973187549371036,1.3857230507319973,-0.01159570420510625
BR:MCF7,100,10,1.314851506568514,1.3576129996199588,0.04276149305144483
BR:MCF7,200,1,1.395117703012524,1.4120645660623652,0.016946863049841276
BR:MCF7,200,2,1.4064858866437895,1.4074048332609295,0.0009189466171399818
BR:MCF7,200,3,1.357860721864272,1.3806636989424397,0.022802977078167697
BR:MCF7,200,4,1.384832795412742,1.3990462670585428,0.01421347164580089
BR:MCF7,200,5,,1.4010723036995916,
BR:MCF7,200,6,1.4072167225412382,1.4029196573655767,-0.00429706517566153
BR:MCF7,200,7,1.3908326496134944,1.3865328339646326,-0.004299815648861838
BR:MCF7,200,8,1.3854196637583518,1.3986419798301146,0.01322231607176283
BR:MCF7,200,9,,1.3977209501165047,
BR:MCF7,200,10,1.3748368449903883,1.3786552521710973,0.003818407180709027
BR:MCF7,500,1,1.3921031170091447,1.3933215006538693,0.0012183836447245966
BR:MCF7,500,2,1.357705141694972,1.4104732005997327,0.05276805890476077
BR:MCF7,500,3,1.3972434626903836,1.410795025721705,0.013551563031321434
BR:MCF7,500,4,1.3559948634789738,1.3570639815136718,0.0010691180346980023
BR:MCF7,500,5,1.4116188812655375,1.4111861214401868,-0.00043275982535062596
BR:MCF7,500,6,1.4078917027195628,1.41096840863413,0.0030767059145673237
BR:MCF7,500,7,1.4085039880121664,1.4114400894140113,0.0029361014018449705
BR:MCF7,500,8,1.3905980446724098,1.3902658944165867,-0.00033215025582311597
BR:MCF7,500,9,1.4108263925691193,1.4137371517849375,0.0029107592158181816
BR:MCF7,500,10,1.4131757465018993,1.4134829380651222,0.0003071915632228972
BR:MDA-MB-231,50,1,1.3158154088559524,1.2644553678359904,-0.051360041019961944
BR:MDA-MB-231,50,2,1.3203641037845064,1.327286200239761,0.006922096455254545
BR:MDA-MB-231,50,3,1.339532946730045,1.3387334220659521,-0.0007995246640928322
BR:MDA-MB-231,50,4,1.3636033408165302,1.373760110627096,0.010156769810565791
BR:MDA-MB-231,50,5,1.2725915281162565,1.2188510490964402,-0.05374047901981638
BR:MDA-MB-231,50,6,1.3059436579184662,1.2694545876370926,-0.0364890702813736
BR:MDA-MB-231,50,7,1.2968705209996896,1.3390120716723366,0.04214155067264702
BR:MDA-MB-231,50,8,1.3090755770659794,1.252593839976182,-0.056481737089797424
BR:MDA-MB-231,50,9,1.28487210045838,1.2543756097467575,-0.030496490711622526
BR:MDA-MB-231,50,10,1.3602865476628574,1.343197112056512,-0.01708943560634535
BR:MDA-MB-231,100,1,1.3442777604986362,1.3300470783488219,-0.014230682149814378
BR:MDA-MB-231,100,2,1.3945069406536326,1.3956631563142012,0.0011562156605686713
BR:MDA-MB-231,100,3,1.391011162151784,1.390699944673643,-0.00031121747814100154
BR:MDA-MB-231,100,4,1.3772270626947967,1.3627179573008052,-0.014509105393991417
BR:MDA-MB-231,100,5,1.3606831606032277,1.3125992425430086,-0.048083918060219055
BR:MDA-MB-231,100,6,1.3801971405834579,1.3503299593714135,-0.029867181212044347
BR:MDA-MB-231,100,7,1.4103410662714155,1.4098327729495577,-0.0005082933218578667
BR:MDA-MB-231,100,8,1.362118240159451,1.3593204685951248,-0.002797771564326146
BR:MDA-MB-231,100,9,1.3822200824444528,1.3756283778772265,-0.006591704567226353
BR:MDA-MB-231,100,10,1.3184835772596548,1.3410891540334933,0.022605576773838454
BR:MDA-MB-231,200,1,,1.397298755110744,
BR:MDA-MB-231,200,2,1.3388813683707008,1.319593282314069,-0.019288086056631792
BR:MDA-MB-231,200,3,1.3597135636970648,1.3643626587413011,0.004649095044236384
BR:MDA-MB-231,200,4,1.361335301462062,1.399292553781473,0.03795725231941116
BR:MDA-MB-231,200,5,1.3843827260752612,1.372869580262846,-0.01151314581241536
BR:MDA-MB-231,200,6,1.3818031338416257,1.3693506299735871,-0.012452503868038534
BR:MDA-MB-231,200,7,1.3943064167414203,1.4098210562861309,0.015514639544710551
BR:MDA-MB-231,200,8,1.4067240278160322,1.4080396033235378,0.0013155755075056064
BR:MDA-MB-231,200,9,1.4009523631432557,1.406178710509729,0.005226347366473316
BR:MDA-MB-231,200,10,1.3711156842950343,1.392579970783528,0.021464286488493745
BR:MDA-MB-231,500,1,1.410181239592078,1.4095990493535926,-0.0005821902384854916
