operator,fold,auroc,accuracy
baseline,0,0.8333333333333334,0.7777777777777778
baseline,1,0.9444444444444445,0.8888888888888888
baseline,2,1.0,0.8888888888888888
baseline,3,1.0,0.875
baseline,4,1.0,0.875
baseline,5,0.888888888888889,0.8888888888888888
baseline,6,1.0,0.7777777777777778
baseline,7,1.0,0.7777777777777778
baseline,8,1.0,1.0
baseline,9,1.0,1.0
baseline,10,1.0,0.8888888888888888
baseline,11,1.0,1.0
baseline,12,1.0,0.7777777777777778
baseline,13,0.6666666666666666,0.875
baseline,14,1.0,0.875
baseline,15,0.8333333333333334,0.7777777777777778
baseline,16,0.9444444444444445,0.8888888888888888
baseline,17,0.6428571428571428,0.7777777777777778
baseline,18,1.0,0.875
baseline,19,1.0,1.0
baseline,20,1.0,1.0
baseline,21,1.0,0.7777777777777778
baseline,22,0.7142857142857143,0.8888888888888888
baseline,23,1.0,0.875
baseline,24,1.0,0.875
baseline,25,1.0,1.0
baseline,26,1.0,0.8888888888888888
baseline,27,1.0,0.7777777777777778
baseline,28,1.0,1.0
baseline,29,0.75,0.875
baseline,30,0.9444444444444445,0.8888888888888888
baseline,31,1.0,0.8888888888888888
baseline,32,0.6428571428571428,0.8888888888888888
baseline,33,1.0,0.75
baseline,34,1.0,0.875
baseline,35,1.0,0.8888888888888888
baseline,36,0.888888888888889,0.7777777777777778
baseline,37,1.0,1.0
baseline,38,1.0,0.875
baseline,39,1.0,1.0
baseline,40,0.888888888888889,0.7777777777777778
baseline,41,0.7777777777777779,0.6666666666666666
baseline,42,0.9285714285714286,0.7777777777777778
baseline,43,1.0,1.0
baseline,44,0.8333333333333333,0.875
baseline,45,1.0,0.8888888888888888
baseline,46,1.0,1.0
baseline,47,0.9285714285714286,0.8888888888888888
baseline,48,1.0,0.875
baseline,49,1.0,0.875
