operator,fold,auroc,accuracy
permuted,0,0.8333333333333334,0.7777777777777778
permuted,1,0.9444444444444445,0.8888888888888888
permuted,2,1.0,0.8888888888888888
permuted,3,1.0,0.875
permuted,4,1.0,0.875
permuted,5,0.888888888888889,0.8888888888888888
permuted,6,1.0,0.7777777777777778
permuted,7,1.0,0.7777777777777778
permuted,8,1.0,1.0
permuted,9,1.0,1.0
permuted,10,1.0,0.8888888888888888
permuted,11,1.0,1.0
permuted,12,1.0,0.7777777777777778
permuted,13,0.6666666666666666,0.875
permuted,14,1.0,0.875
permuted,15,0.8333333333333334,0.7777777777777778
permuted,16,0.9444444444444445,0.8888888888888888
permuted,17,0.6428571428571428,0.7777777777777778
permuted,18,1.0,0.875
permuted,19,1.0,1.0
permuted,20,1.0,1.0
permuted,21,1.0,0.7777777777777778
permuted,22,0.7142857142857143,0.8888888888888888
permuted,23,1.0,0.875
permuted,24,1.0,0.875
permuted,25,1.0,1.0
permuted,26,1.0,0.8888888888888888
permuted,27,1.0,0.7777777777777778
permuted,28,1.0,1.0
permuted,29,0.75,0.875
permuted,30,0.9444444444444445,0.8888888888888888
permuted,31,1.0,0.8888888888888888
permuted,32,0.6428571428571428,0.8888888888888888
permuted,33,1.0,0.75
permuted,34,1.0,0.875
permuted,35,1.0,0.8888888888888888
permuted,36,0.888888888888889,0.7777777777777778
permuted,37,1.0,1.0
permuted,38,1.0,0.875
permuted,39,1.0,1.0
permuted,40,0.888888888888889,0.7777777777777778
permuted,41,0.7777777777777779,0.6666666666666666
permuted,42,0.9285714285714286,0.7777777777777778
permuted,43,1.0,1.0
permuted,44,0.8333333333333333,0.875
permuted,45,1.0,0.8888888888888888
permuted,46,1.0,1.0
permuted,47,0.9285714285714286,0.8888888888888888
permuted,48,1.0,0.875
permuted,49,1.0,0.875
