operator,fold,auroc,accuracy
proteomics,0,0.7777777777777779,0.7777777777777778
proteomics,1,0.9444444444444445,0.8888888888888888
proteomics,2,1.0,0.8888888888888888
proteomics,3,1.0,0.875
proteomics,4,1.0,0.875
proteomics,5,0.888888888888889,0.8888888888888888
proteomics,6,1.0,0.7777777777777778
proteomics,7,1.0,0.7777777777777778
proteomics,8,1.0,1.0
proteomics,9,1.0,1.0
proteomics,10,1.0,0.8888888888888888
proteomics,11,1.0,1.0
proteomics,12,1.0,0.7777777777777778
proteomics,13,0.6666666666666666,0.875
proteomics,14,1.0,0.875
proteomics,15,0.888888888888889,0.7777777777777778
proteomics,16,0.9444444444444445,0.7777777777777778
proteomics,17,0.6428571428571428,0.7777777777777778
proteomics,18,1.0,0.875
proteomics,19,1.0,1.0
proteomics,20,1.0,1.0
proteomics,21,1.0,0.7777777777777778
proteomics,22,0.7142857142857143,0.8888888888888888
proteomics,23,1.0,0.875
proteomics,24,1.0,0.875
proteomics,25,1.0,1.0
proteomics,26,1.0,0.8888888888888888
proteomics,27,1.0,0.7777777777777778
proteomics,28,1.0,0.875
proteomics,29,0.75,0.875
proteomics,30,0.9444444444444445,0.7777777777777778
proteomics,31,0.9444444444444445,0.8888888888888888
proteomics,32,0.6428571428571428,0.8888888888888888
proteomics,33,1.0,0.75
proteomics,34,1.0,0.875
proteomics,35,0.9444444444444445,0.8888888888888888
proteomics,36,0.888888888888889,0.7777777777777778
proteomics,37,1.0,1.0
proteomics,38,1.0,0.875
proteomics,39,1.0,1.0
proteomics,40,0.888888888888889,0.7777777777777778
proteomics,41,0.7777777777777779,0.6666666666666666
proteomics,42,0.9285714285714286,0.7777777777777778
proteomics,43,1.0,1.0
proteomics,44,0.9166666666666667,0.875
proteomics,45,1.0,0.8888888888888888
proteomics,46,1.0,1.0
proteomics,47,0.9285714285714286,0.8888888888888888
proteomics,48,1.0,0.875
proteomics,49,1.0,0.875
