"cell_line","tissue"
"BR:MCF7","BR"
"BR:MDA-MB-231","BR"
"BR:HS 578T","BR"
"BR:BT-549","BR"
"BR:T-47D","BR"
"CNS:SF-268","CNS"
"CNS:SF-295","CNS"
"CNS:SNB-19","CNS"
"CNS:SNB-75","CNS"
"CNS:U251","CNS"
"CO:COLO 205","CO"
"CO:HCC-2998","CO"
"CO:HCT-116","CO"
"CO:HCT-15","CO"
"CO:HT29","CO"
"CO:KM12","CO"
"CO:SW-620","CO"
"LE:CCRF-CEM","LE"
"LE:HL-60(TB)","LE"
"LE:K-562","LE"
"LE:MOLT-4","LE"
"LE:RPMI-8226","LE"
"LE:SR","LE"
"ME:LOX IMVI","ME"
"ME:MALME-3M","ME"
"ME:M14","ME"
"ME:SK-MEL-2","ME"
"ME:SK-MEL-28","ME"
"ME:SK-MEL-5","ME"
"ME:UACC-257","ME"
"ME:UACC-62","ME"
"ME:MDA-MB-435","ME"
"LC:A549/ATCC","LC"
"LC:EKVX","LC"
"LC:HOP-62","LC"
"LC:HOP-92","LC"
"LC:NCI-H226","LC"
"LC:NCI-H322M","LC"
"LC:NCI-H460","LC"
"LC:NCI-H522","LC"
"OV:IGROV1","OV"
"OV:OVCAR-3","OV"
"OV:OVCAR-4","OV"
"OV:OVCAR-5","OV"
"OV:OVCAR-8","OV"
"OV:SK-OV-3","OV"
"OV:NCI/ADR-RES","OV"
"PR:PC-3","PR"
"PR:DU-145","PR"
"RE:786-0","RE"
"RE:A498","RE"
"RE:ACHN","RE"
"RE:CAKI-1","RE"
"RE:RXF 393","RE"
"RE:SN12C","RE"
"RE:TK-10","RE"
"RE:UO-31","RE"
