cell_line,n_eigs_total,n_eigs_nontrivial,spectral_l2_to_topology,spectral_rel_l2_to_topology,subspace_distance_to_topology,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13,eig_14,eig_15,eig_16,eig_17,eig_18,eig_19,eig_20,eig_21,eig_22,eig_23,eig_24,eig_25,eig_26,eig_27,eig_28,eig_29,eig_30,eig_31,eig_32,eig_33,eig_34,eig_35,eig_36,eig_37,eig_38,eig_39,eig_40,eig_41,eig_42,eig_43,eig_44,eig_45,eig_46,eig_47,eig_48,eig_49,eig_50,eig_nontrivial_1,eig_nontrivial_2,eig_nontrivial_3,eig_nontrivial_4,eig_nontrivial_5,eig_nontrivial_6,eig_nontrivial_7,eig_nontrivial_8,eig_nontrivial_9,eig_nontrivial_10,eig_nontrivial_11,eig_nontrivial_12,eig_nontrivial_13,eig_nontrivial_14,eig_nontrivial_15,eig_nontrivial_16,eig_nontrivial_17,eig_nontrivial_18,eig_nontrivial_19,eig_nontrivial_20,eig_nontrivial_21,eig_nontrivial_22,eig_nontrivial_23,eig_nontrivial_24,eig_nontrivial_25,eig_nontrivial_26,eig_nontrivial_27,eig_nontrivial_28,eig_nontrivial_29,eig_nontrivial_30,eig_nontrivial_31,eig_nontrivial_32,eig_nontrivial_33,eig_nontrivial_34,eig_nontrivial_35,eig_nontrivial_36,eig_nontrivial_37,eig_nontrivial_38,eig_nontrivial_39,eig_nontrivial_40,eig_nontrivial_41,eig_nontrivial_42,eig_nontrivial_43,eig_nontrivial_44,eig_nontrivial_45,eig_nontrivial_46,eig_nontrivial_47,eig_nontrivial_48,eig_nontrivial_49,eig_nontrivial_50
BR:MCF7,50,22,7.359100313885527,7.359100313885527,3.0883460566677456e-08,-2.1148030477963382e-09,-1.2917173515709923e-10,-1.0377175866922803e-10,-9.456303848417915e-11,-3.027203395724806e-11,-2.993762021326427e-11,-2.2711819594066138e-11,-1.3088202573054326e-11,-1.254100836579116e-11,-1.027332608089307e-11,-5.837097908430351e-12,-3.084651119060998e-12,-2.9188083563612063e-12,-1.5029546617667533e-13,7.765078456536262e-13,2.185546136971618e-12,3.712334300100088e-12,6.563120869256672e-12,9.901393412310201e-12,1.1430357013545236e-11,1.619553997205328e-11,2.0243260897851584e-11,2.9425078869262274e-11,3.056183442168986e-11,3.1782682253156044e-11,6.069960274701375e-11,1.4291728603788457e-10,2.4538508352274935e-09,9.061349733773779e-05,0.000748968761193564,0.0012923794768689206,0.00293055778754051,0.004011303573383449,0.005192376801316712,0.0064431816574557,0.006663113189587627,0.00669853301066086,0.0069276270264664,0.007496704830895675,0.00755501840689549,0.008141763644459926,0.008583107423910101,0.00923574910995376,0.01419887748841435,0.014289210576378808,0.014488832993710857,0.014668032843012971,0.01842482928994925,0.018473396616773417,0.01901576426135429,9.061349733773779e-05,0.000748968761193564,0.0012923794768689206,0.00293055778754051,0.004011303573383449,0.005192376801316712,0.0064431816574557,0.006663113189587627,0.00669853301066086,0.0069276270264664,0.007496704830895675,0.00755501840689549,0.008141763644459926,0.008583107423910101,0.00923574910995376,0.01419887748841435,0.014289210576378808,0.014488832993710857,0.014668032843012971,0.01842482928994925,0.018473396616773417,0.01901576426135429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR:MDA-MB-231,50,3,0.9999816544880464,0.9999816544880464,0.671978631504198,-2.6336811610695385e-11,-2.4950765452748207e-11,-1.915077975757698e-11,-1.5196078634793428e-11,-1.4003747895443772e-11,-6.495296786318203e-12,-5.729696380438014e-12,-5.517198595770059e-12,-5.091352103911602e-12,-4.808050902945296e-12,-4.739762822134584e-12,-4.697072185410114e-12,-4.164678028980261e-12,-3.710353340758213e-12,-2.6667555696243544e-12,-2.0830330461820562e-12,-1.1709530101187277e-12,-7.85129773694937e-13,-3.773317921139385e-13,-3.6077109182020006e-13,-2.9250240467584843e-13,-2.1075331692495258e-13,-2.0478720986778082e-13,-1.5848311703779705e-13,-1.0612089549125181e-13,-4.9678414593828935e-15,2.0309817196084712e-14,3.7386801011833615e-14,1.1853286906692018e-13,1.4678467046436855e-13,2.8734486849386204e-13,3.352596385187631e-13,7.142522521780964e-13,9.180806207495854e-13,1.3629710560051148e-12,2.5107245655350136e-12,2.5244974974402215e-12,2.6921267678222532e-12,3.2013934417925854e-12,4.225798137520546e-12,4.757152327226552e-12,7.600443020718169e-12,1.040890718886564e-11,1.2367995896097467e-11,2.1268915041715644e-11,3.595554229514613e-11,6.308866470417559e-11,1.252636514615735e-10,1.6573586389195209e-09,9.062482765259523e-05,1.252636514615735e-10,1.6573586389195209e-09,9.062482765259523e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR:HS 578T,50,15,7.344302173798834,7.344302173798834,2.344591953917785e-08,-4.77090440856873e-10,-2.193140111791253e-10,-9.520960139264376e-11,-8.456976462981221e-11,-6.481322837909205e-11,-4.0932561851179765e-11,-2.5226394351251027e-11,-1.6862862980428737e-11,-1.3955842015876685e-11,-8.43691212542002e-12,-6.546047138047441e-12,-3.6719076672471485e-12,-2.8814678914397193e-12,-2.2959944085939113e-12,-1.4067123117397773e-12,-6.743291905766946e-13,5.709124037238389e-15,1.340177968600642e-13,5.865105222237904e-13,7.358000249672522e-13,1.8472570478475503e-12,2.6507377971210153e-12,3.1257628728192585e-12,3.816724090640114e-12,5.40865656840743e-12,9.477002841339066e-12,2.6443801521332938e-11,2.8393431675917055e-11,4.378891905109858e-11,4.4978370718684255e-11,4.6550499755880145e-11,6.763515485522231e-11,1.2788439262363584e-10,1.3880277251198964e-10,4.75225661272327e-10,9.064702639387775e-05,0.0007476146347542239,0.0012921160983681728,0.0028529923087418562,0.004044564485611756,0.005187481165118162,0.006433172396187313,0.006662061607585165,0.0066968697173693924,0.0069184054765359,0.0074483404430151995,0.007579803622684026,0.008189126572148677,0.008649925583765589,0.009187688363422705,9.064702639387775e-05,0.0007476146347542239,0.0012921160983681728,0.0028529923087418562,0.004044564485611756,0.005187481165118162,0.006433172396187313,0.006662061607585165,0.0066968697173693924,0.0069184054765359,0.0074483404430151995,0.007579803622684026,0.008189126572148677,0.008649925583765589,0.009187688363422705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR:BT-549,50,22,7.321835638163888,7.321835638163888,2.974345669759515e-08,-1.486982856901205e-09,-1.59133562054113e-10,-4.49351532816767e-11,-2.7245743042334652e-11,-2.4141763105755762e-11,-1.9098327194884412e-11,-1.4251471286723036e-11,-1.14806692527291e-11,-8.88004111161602e-12,-7.323355585690285e-12,-6.837340304935262e-12,-6.419884399479561e-12,-2.0906179077403303e-12,-8.006048488008385e-13,-3.567570772220613e-13,1.7867532269271597e-12,4.445487313225853e-12,5.776570126641949e-12,6.2690866359889005e-12,1.0465303862221276e-11,1.2404688157197606e-11,1.6257502180420935e-11,1.8142079283084075e-11,2.6044220613149517e-11,2.9676586451384164e-11,4.311256261929977e-11,1.570447925348939e-10,1.5211410711222194e-09,9.061929665397274e-05,0.0007455695413407409,0.0012869860604815802,0.0028900012134609712,0.003966388291573896,0.005182544760670833,0.006258265852479326,0.006476968185291446,0.0066935752072211875,0.006838784985233715,0.00745021943536034,0.0075782636185788045,0.008162885727823097,0.008621588713392078,0.009179422056827487,0.013850922696921758,0.014250898991671932,0.01433944504373207,0.014503044494087914,0.017604124667898232,0.018425175248236947,0.018782187589056455,9.061929665397274e-05,0.0007455695413407409,0.0012869860604815802,0.0028900012134609712,0.003966388291573896,0.005182544760670833,0.006258265852479326,0.006476968185291446,0.0066935752072211875,0.006838784985233715,0.00745021943536034,0.0075782636185788045,0.008162885727823097,0.008621588713392078,0.009179422056827487,0.013850922696921758,0.014250898991671932,0.01433944504373207,0.014503044494087914,0.017604124667898232,0.018425175248236947,0.018782187589056455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR:T-47D,50,22,7.3558326452304295,7.3558326452304295,3.4883455679590725e-08,-2.598849271011729e-09,-9.196706327800445e-11,-5.241684465488207e-11,-3.791794729222052e-11,-3.299136296455469e-11,-2.5707971396202872e-11,-2.2207666234381682e-11,-2.0152486274248142e-11,-1.3269075251000524e-11,-9.232816618989954e-12,-5.771693547900435e-12,-1.5661550967780227e-12,-8.68853030971603e-13,-4.116266518177508e-13,4.028053254443928e-13,3.5580886923857608e-12,1.2168873629028396e-11,1.469991008529615e-11,1.8804288353757408e-11,2.2436068709266385e-11,2.7368969205765828e-11,3.4787233979386746e-11,3.562746813876288e-11,6.035578570403547e-11,7.446252405093282e-11,7.984258204943046e-11,9.911924402181572e-11,2.6544516646456176e-09,9.071988243232004e-05,0.0007486561217801665,0.0012976429561706018,0.002943251711876473,0.0040621269187290955,0.0051933179665254875,0.0064581805503104465,0.006687286447556285,0.006698362544878709,0.00694075641007628,0.007523371320996117,0.007595992581611124,0.008153613064994536,0.008608401486506686,0.009228620045849288,0.014230633019472166,0.014361522865056592,0.014526621944334975,0.01458813941283766,0.018390539357192526,0.018558904654301104,0.01924465720076967,9.071988243232004e-05,0.0007486561217801665,0.0012976429561706018,0.002943251711876473,0.0040621269187290955,0.0051933179665254875,0.0064581805503104465,0.006687286447556285,0.006698362544878709,0.00694075641007628,0.007523371320996117,0.007595992581611124,0.008153613064994536,0.008608401486506686,0.009228620045849288,0.014230633019472166,0.014361522865056592,0.014526621944334975,0.01458813941283766,0.018390539357192526,0.018558904654301104,0.01924465720076967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNS:SF-268,50,15,7.317774149503937,7.317774149503937,1.9961150066194477e-08,-4.270844461504858e-10,-9.188473402011853e-11,-8.655584116199627e-11,-7.867307101464861e-11,-5.917961089165098e-11,-5.690819400460713e-11,-1.5746241062344207e-11,-1.0115518435361258e-11,-8.676464481236455e-12,-7.1066819421448935e-12,-4.634885764033189e-12,-4.546218558402516e-12,-2.6845804225461567e-12,-2.3872593897349137e-12,-2.2879602129977777e-12,-1.434132340335549e-12,-1.1122477315246918e-12,-2.795089328174946e-13,-1.06716352876908e-13,7.684350660126793e-14,4.4918028443887564e-13,6.89662099672729e-13,7.33585582687532e-13,1.4577981969363454e-12,2.9586138497895292e-12,6.9824389597062525e-12,8.973676890542542e-12,1.9760211628322248e-11,2.426159142023595e-11,6.099907501311806e-11,7.087850785621446e-11,8.209406533743208e-11,9.701909971747674e-11,1.5044066036321024e-10,3.9825211342961204e-10,9.06058942401318e-05,0.0007452009808454227,0.0012791796856086886,0.002864261507467942,0.004052476158426867,0.005193177350100826,0.0063776983866337105,0.006615391134517401,0.0066999376698886545,0.0068545090619173115,0.0074435004317518275,0.00757741714176841,0.008248841383526214,0.008631282499675283,0.00916256753259865,9.06058942401318e-05,0.0007452009808454227,0.0012791796856086886,0.002864261507467942,0.004052476158426867,0.005193177350100826,0.0063776983866337105,0.006615391134517401,0.0066999376698886545,0.0068545090619173115,0.0074435004317518275,0.00757741714176841,0.008248841383526214,0.008631282499675283,0.00916256753259865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNS:SF-295,50,6,0.9999984311261929,0.9999984311261929,0.7869150791791784,-1.0726789361408884e-09,-1.445952091784844e-10,-1.1842355398985604e-10,-1.0284037395269768e-10,-8.560374807555123e-11,-5.613307515746173e-11,-3.051809387068661e-11,-1.0938973346390733e-11,-9.420378309344356e-12,-7.086265873135905e-12,-5.61402630654996e-12,-5.528310190812576e-12,-4.797256464143286e-12,-2.824402238238606e-12,-2.48411762080597e-12,-1.6654110816111123e-12,-1.4065924396370819e-12,-7.771068402488701e-13,-5.851823745624957e-13,-3.339611031293044e-13,-2.9335838229102573e-13,-1.0140988797400358e-13,3.023208311296599e-14,1.093137218114229e-13,1.7849697414584753e-13,1.9118761478489898e-13,4.660339497121468e-13,5.476439749818943e-13,8.563633607577489e-13,1.1017732814413636e-12,1.3443117062236776e-12,1.8913609963139635e-12,2.3649341220153414e-12,2.562029635753277e-12,2.566794148647737e-12,3.794332835665819e-12,4.2128350504280765e-12,8.423301051346636e-12,1.5068009787491156e-11,1.639152855603069e-11,2.9028256645744106e-11,3.3661756921373603e-11,4.518064108873388e-11,6.809702030507927e-11,9.395111617393863e-11,1.417338896258797e-10,1.4524983712809695e-10,1.527824837943472e-10,1.0063528130531971e-09,9.069010033233566e-05,9.395111617393863e-11,1.417338896258797e-10,1.4524983712809695e-10,1.527824837943472e-10,1.0063528130531971e-09,9.069010033233566e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNS:SNB-19,50,22,7.328915866240662,7.328915866240662,2.094255446838389e-08,-6.042043995116084e-09,-8.493687849678733e-10,-1.379901616555641e-10,-1.2651741727019456e-10,-3.0869115789466765e-11,-1.3004292697478721e-11,-7.377339109613038e-12,-5.512164035219487e-12,-4.715910794468245e-12,-4.251963337626938e-12,-1.5267210781190477e-12,-1.0326845579838526e-12,-5.058492958277122e-13,1.0637206447703523e-13,2.273678261725115e-12,2.991209629163785e-12,3.2891343864022496e-12,3.8509832800924515e-12,5.9355969981743015e-12,9.006944482240452e-12,1.2156932443141075e-11,1.315734341953128e-11,2.668787399732163e-11,2.7232849222208477e-11,8.80284978347105e-11,1.598720769484252e-10,1.8501524827972942e-10,5.673462356991653e-09,9.060386365268274e-05,0.0007462173934339605,0.001291477668955031,0.00285820429981728,0.004042665854086305,0.005193338329338746,0.006368266447155274,0.006586389616840842,0.006700947147817204,0.006851002765013817,0.007444921685042832,0.007579311603908804,0.008217933899807784,0.00861980824287555,0.009153187779485832,0.014065348719170109,0.014257284628753778,0.014345042792260976,0.014520681135073665,0.0182800118982667,0.018407145080388994,0.01897707731660205,9.060386365268274e-05,0.0007462173934339605,0.001291477668955031,0.00285820429981728,0.004042665854086305,0.005193338329338746,0.006368266447155274,0.006586389616840842,0.006700947147817204,0.006851002765013817,0.007444921685042832,0.007579311603908804,0.008217933899807784,0.00861980824287555,0.009153187779485832,0.014065348719170109,0.014257284628753778,0.014345042792260976,0.014520681135073665,0.0182800118982667,0.018407145080388994,0.01897707731660205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNS:SNB-75,50,3,0.9999789497681947,0.9999789497681947,0.7351638101324338,-2.1769050117755907e-11,-1.7030348173894573e-11,-1.3083047245934266e-11,-1.0140488993751369e-11,-6.610796532044959e-12,-6.222728170419967e-12,-4.996386022471967e-12,-4.821852024106989e-12,-4.76421235361818e-12,-4.659684869402249e-12,-4.530179264486053e-12,-4.510981865823993e-12,-3.1815977397141662e-12,-2.8601849621362474e-12,-8.862827870692244e-13,-8.406450042368688e-13,-6.624062057333444e-13,-6.190847666323954e-13,-2.1622628817649647e-13,-2.1463820304434833e-13,-1.6577852372107182e-13,-8.16074096320063e-14,-2.319056947343301e-14,-7.339764104656588e-15,2.996410899350904e-14,3.2500749053837596e-14,3.836103797897478e-14,6.301629682479992e-14,8.807841608837741e-14,1.1824257393523718e-13,1.835462933984927e-13,3.0157284005086216e-13,7.400570770348808e-13,8.966354676960553e-13,2.1679608114147722e-12,2.4800241612936424e-12,2.543340267124189e-12,2.6803648412116257e-12,4.109808847407859e-12,5.3320198598180366e-12,5.7642191258859554e-12,1.0178697091461388e-11,1.124717681456281e-11,1.1852398633404627e-11,1.8352655387163935e-11,3.2379271979561183e-11,5.377585418522672e-11,1.951324917349572e-10,1.901706619828196e-09,9.063185469636172e-05,1.951324917349572e-10,1.901706619828196e-09,9.063185469636172e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNS:U251,50,3,0.9999874161169944,0.9999874161169944,0.7315311419913024,-8.201646244207668e-12,-6.978538108709867e-12,-6.519196166514425e-12,-5.52523132769326e-12,-4.952259224444769e-12,-4.784794766345482e-12,-4.75861708436158e-12,-4.754219289299436e-12,-4.695570660268912e-12,-4.227424576304546e-12,-1.6511902793409777e-12,-1.5999178707131606e-12,-1.016306288258162e-12,-7.508729017247431e-13,-6.012923991181862e-13,-3.138505351874682e-13,-2.3682539761725463e-13,-2.144774565197502e-13,-1.9935078978197684e-13,-1.4505939309981952e-13,-1.244554318543395e-14,-4.042407142530735e-15,-1.0662450740037133e-15,1.2093597607717999e-15,1.1847212664020668e-14,3.619800043475757e-14,1.201953982307366e-13,2.596176854226251e-13,4.82351043330255e-13,6.074713892719255e-13,7.904710414875782e-13,8.270637186181748e-13,9.508980246004245e-13,2.3419209957799628e-12,2.3873239539742852e-12,2.5195846114784565e-12,2.519722996333247e-12,2.5629218528260694e-12,4.573904568896253e-12,5.973082122770652e-12,7.628893109140437e-12,1.595819640711274e-11,1.7827609600693482e-11,2.2295468558386836e-11,2.4723352407213586e-11,3.8546223464085323e-11,6.515189334755679e-11,1.2305034374521674e-10,1.136845065202491e-09,9.061476144224832e-05,1.2305034374521674e-10,1.136845065202491e-09,9.061476144224832e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
